location,sqft,bedrooms,bathrooms,age,price
Suburban,1452,5,2,1,1019921.0499116605
Rural,5670,1,4,42,1185877.7354425204
Suburban,4242,7,4,30,2113535.305764781
Rural,2169,3,2,52,568262.8653533475
Suburban,1820,6,2,75,945295.3900890516
Urban,5168,6,3,71,2634226.717846685
Urban,1046,5,3,58,1014292.8381493608
Rural,1699,2,3,36,310761.2200620137
Suburban,2532,3,5,48,1201783.6869506883
Suburban,5306,3,2,46,1967316.0364445755
Rural,4743,4,1,16,1030811.7240037585
Urban,2646,4,2,97,1330248.6082651205
Urban,4285,5,3,10,2449142.103824905
Urban,5599,5,5,22,2979261.373944915
Urban,2693,3,2,79,1377299.3414511217
Urban,508,5,4,41,773314.5346550206
Urban,5834,5,5,53,2975719.594914821
Suburban,2173,5,4,74,1192132.389851082
Rural,3498,4,1,17,703328.2309399765
Suburban,1130,6,4,60,962971.1577623273
Suburban,4854,5,3,68,2060423.3998531634
Rural,3310,1,2,37,727993.3258016036
Urban,3840,2,2,94,1851733.2062642404
Suburban,934,6,3,78,749179.2891320175
Urban,1147,2,1,67,730299.3806188449
Rural,2199,4,5,69,620372.4824743378
Suburban,2231,5,1,5,1167313.0557147765
Rural,4032,5,3,82,907490.6653088059
Rural,1173,2,1,82,201531.03609980538
Rural,1364,5,1,77,392244.69289406255
Rural,2531,4,4,22,632402.2876717959
Suburban,5803,1,3,52,2148163.4888907736
Rural,1907,5,4,11,663176.19237189
Urban,3555,7,3,26,2167724.8641301924
Suburban,1857,4,2,86,879193.8578491303
Suburban,3317,6,1,2,1585698.818894662
Rural,1893,5,4,54,571356.3802330784
Suburban,2860,2,5,36,1378516.0561872541
Urban,1102,7,4,97,1211814.4410383261
Rural,4390,6,2,21,1040719.4020410882
Urban,2678,4,3,40,1547897.3030489641
Rural,4326,3,5,35,915630.149801596
Suburban,535,5,1,49,551120.8017129012
Urban,2804,6,1,81,1643073.4181425455
Rural,5879,3,1,42,1157497.7114444955
Urban,4598,3,5,55,2391921.2863176987
Rural,1262,6,3,93,420404.51145176985
Rural,1774,6,1,56,504165.40295259753
Suburban,3885,1,3,14,1479220.7649141867
Urban,4702,3,3,16,2394331.237429546
Suburban,2713,6,1,5,1374118.0245365407
Urban,3946,2,2,86,1731793.1710710945
Rural,2606,2,4,43,624915.997771852
Rural,3573,3,4,16,976666.362718021
Urban,5640,6,5,20,3078022.897146771
Urban,3751,7,1,13,2196534.365737251
Rural,5821,4,2,82,1176771.2605492293
Urban,4408,4,3,16,2429558.747863123
Suburban,4418,6,4,55,2060052.2699165936
Urban,1678,7,1,6,1388257.3789668963
Urban,2290,2,2,82,1224929.4687049005
Rural,1431,2,2,11,469551.4445337625
Urban,1913,4,3,86,1167291.2359273466
Suburban,4605,6,3,10,2094008.674613171
Urban,4205,1,5,0,2126884.789130136
Urban,2995,2,1,11,1457014.7191519656
Suburban,1799,2,2,49,875493.7261828682
Urban,1474,1,3,27,824880.9923105957
Urban,4866,1,5,74,2213093.045135536
Urban,4754,6,2,100,2478646.486017371
Rural,4409,5,4,23,1031289.1562204602
Urban,4907,7,1,64,2419642.831065853
Suburban,3438,6,1,58,1587577.6692716335
Suburban,1705,7,4,76,1124209.993101652
Urban,4323,4,4,96,2252276.575083535
Rural,2265,3,3,19,557140.4451407776
Rural,4495,2,1,11,1019717.3513642496
Urban,5483,3,4,59,2575348.009925499
Suburban,2732,3,1,1,1240441.446707612
Urban,4556,1,1,46,2067038.9529393974
Suburban,5812,3,5,58,2298655.1957304855
Suburban,5677,2,5,84,2182973.537710135
Rural,5960,6,1,71,1260869.269186484
Urban,2952,2,4,18,1661082.5080154722
Suburban,2775,3,4,16,1297289.683802172
Rural,5554,2,3,82,1131657.8944230028
Urban,4810,7,5,40,2725213.7519354066
Rural,1420,1,4,46,398765.6937567064
Suburban,1066,1,4,61,677336.734213692
Urban,2037,4,3,66,1178608.9475808623
Urban,808,6,2,57,932879.6164836455
Rural,4713,6,5,34,1065736.1888777725
Suburban,5702,1,3,10,2142820.0081593376
Rural,5755,5,2,46,1219117.0182064984
Urban,2661,7,4,15,1809788.5127348823
Rural,5596,6,5,67,1342138.9651026288
Suburban,5270,1,1,52,1823162.8800671878
Rural,3129,3,1,73,720877.6539064265
Rural,3553,2,5,69,818003.6108098322
Urban,3224,5,1,76,1756720.4126347671
Rural,4811,1,3,41,916012.6877812074
Suburban,1239,4,1,69,660146.8386784313
Rural,5581,3,1,40,1161508.3884223183
Rural,1646,3,2,6,533889.7754728043
Urban,1672,7,5,55,1502713.953073274
Urban,2498,4,3,56,1436497.4779340192
Suburban,890,3,2,26,517849.8536951077
Suburban,5025,5,5,2,2195550.084269558
Suburban,1436,1,5,8,800304.9248195641
Rural,2017,1,4,46,515771.0809761401
Rural,985,5,3,51,458894.587284207
Urban,602,3,2,37,597552.3524492673
Rural,5258,4,3,70,1092799.4875100227
Urban,1659,1,5,62,969312.6533530467
Suburban,4662,6,2,26,1984543.1503088688
Urban,5557,1,5,37,2636372.6298339404
Rural,996,3,3,72,384527.7371136783
Suburban,5731,5,4,5,2517832.3275368093
Suburban,4142,3,2,4,1843599.3776333092
Urban,2159,1,3,60,1118858.4857265865
Rural,2418,5,3,61,639932.136162796
Rural,5227,1,4,11,1168170.1501877143
Urban,2627,5,2,89,1458747.457803972
Suburban,3621,3,2,36,1452750.2294712379
Urban,1523,5,4,31,1282155.4510653464
Rural,5941,2,2,2,1276951.153938397
Urban,4216,6,3,7,2535763.718055376
Rural,1767,5,2,97,484164.5346204108
Rural,3591,4,5,45,969745.9457555922
Urban,1896,4,5,36,1329524.4608953195
Suburban,3698,3,4,90,1549291.244704532
Suburban,3125,7,1,76,1455629.8963991622
Rural,2676,4,2,28,755976.842575101
Rural,4962,1,1,41,859356.4824063506
Urban,2207,6,3,41,1514405.9597240614
Suburban,636,1,2,76,269161.45968594996
Urban,4908,6,4,42,2589509.366717963
Rural,3871,3,2,90,942647.1638234647
Urban,3846,3,4,92,1938644.2247125627
Urban,2672,4,4,95,1442186.7034051083
Urban,2649,7,5,77,1773558.7252565809
Urban,891,3,4,21,904497.0942180215
Rural,3472,7,4,27,1002114.5353533134
Rural,1114,1,4,0,272621.0348829832
Urban,3209,6,5,89,1973982.4333424969
Urban,3694,2,4,10,2068466.2089837505
Rural,5752,3,4,31,1263103.1205326444
Suburban,1232,6,2,66,781720.9703357174
Rural,563,6,3,60,318000.5926431594
Rural,3958,2,4,9,909264.0561401492
Rural,3936,6,3,0,962177.5920269937
Rural,1922,2,1,50,342485.13702478376
Rural,2162,7,3,25,660033.5010276788
Rural,2137,2,4,27,645722.5709576055
Urban,2526,6,5,42,1739878.3845279596
